Body Regions;A01
Amnesia, Anterograde;C10.597.606.525.100.075
Amnesia, Retrograde;C10.597.606.525.100.150
Amnesia, Transient Global;C10.597.606.525.100.800
Korsakoff Syndrome;C10.597.606.525.400
Intellectual Disability;C10.597.606.643
Cri-du-Chat Syndrome;C10.597.606.643.180
De Lange Syndrome;C10.597.606.643.210
Down Syndrome;C10.597.606.643.220
Mental Retardation, X-Linked;C10.597.606.643.455
Adrenoleukodystrophy;C10.597.606.643.455.124
Coffin-Lowry Syndrome;C10.597.606.643.455.249
Fragile X Syndrome;C10.597.606.643.455.500
Glycogen Storage Disease Type IIb;C10.597.606.643.455.562
Lesch-Nyhan Syndrome;C10.597.606.643.455.625
Menkes Kinky Hair Syndrome;C10.597.606.643.455.687
Mucopolysaccharidosis II;C10.597.606.643.455.750
Pyruvate Dehydrogenase Complex Deficiency Disease;C10.597.606.643.455.875
Rett Syndrome;C10.597.606.643.455.937
Prader-Willi Syndrome;C10.597.606.643.690
Rubinstein-Taybi Syndrome;C10.597.606.643.700
WAGR Syndrome;C10.597.606.643.969
Williams Syndrome;C10.597.606.643.970
Perceptual Disorders;C10.597.606.762
Agnosia;C10.597.606.762.100
Gerstmann Syndrome;C10.597.606.762.100.300
Prosopagnosia;C10.597.606.762.100.650
Alice in Wonderland Syndrome;C10.597.606.762.150
Allesthesia;C10.597.606.762.175
Auditory Perceptual Disorders;C10.597.606.762.200
Hallucinations;C10.597.606.762.300
Illusions;C10.597.606.762.400
Phantom Limb;C10.597.606.762.700
Psychomotor Disorders;C10.597.606.881
Apraxias;C10.597.606.881.350
Alien Hand Syndrome;C10.597.606.881.350.099
Apraxia, Ideomotor;C10.597.606.881.350.200
Gait Apraxia;C10.597.606.881.350.600
Psychomotor Agitation;C10.597.606.881.700
Neurogenic Inflammation;C10.597.609
Neuromuscular Manifestations;C10.597.613
Fasciculation;C10.597.613.250
Muscle Cramp;C10.597.613.500
Muscle Hypertonia;C10.597.613.550
Muscle Rigidity;C10.597.613.550.500
Muscle Spasticity;C10.597.613.550.550
Muscle Hypotonia;C10.597.613.575
Muscle Weakness;C10.597.613.593
Muscular Atrophy;C10.597.613.612
Sarcopenia;C10.597.613.612.500
Myokymia;C10.597.613.650
Myotonia;C10.597.613.700
Spasm;C10.597.613.750
Hemifacial Spasm;C10.597.613.750.400
Trismus;C10.597.613.750.700
Tetany;C10.597.613.875
Pain;C10.597.617
Acute Pain;C10.597.617.088
Breakthrough Pain;C10.597.617.178
Mastodynia;C10.597.617.205
Musculoskeletal Pain;C10.597.617.231
Myalgia;C10.597.617.231.249
Pelvic Girdle Pain;C10.597.617.231.500
Back Pain;C10.597.617.232
Failed Back Surgery Syndrome;C10.597.617.232.199
Low Back Pain;C10.597.617.232.400
Chronic Pain;C10.597.617.258
Facial Pain;C10.597.617.364
Headache;C10.597.617.470
Labor Pain;C10.597.617.515
Metatarsalgia;C10.597.617.560
Neck Pain;C10.597.617.576
Neuralgia;C10.597.617.682
Neuralgia, Postherpetic;C10.597.617.682.550
Piriformis Muscle Syndrome;C10.597.617.682.675
Pudendal Neuralgia;C10.597.617.682.737
Sciatica;C10.597.617.682.800
Nociceptive Pain;C10.597.617.735
Visceral Pain;C10.597.617.735.500
Pain, Intractable;C10.597.617.788
Pain, Referred;C10.597.617.894
Slit Ventricle Syndrome;C10.597.617.947
Paralysis;C10.597.622
Facial Paralysis;C10.597.622.214
Hemiplegia;C10.597.622.295
Ophthalmoplegia;C10.597.622.447
Ophthalmoplegia, Chronic Progressive External;C10.597.622.447.511
Ophthalmoplegic Migraine;C10.597.622.447.600
Supranuclear Palsy, Progressive;C10.597.622.447.690
Paraplegia;C10.597.622.669
Brown-Sequard Syndrome;C10.597.622.669.300
Pseudobulbar Palsy;C10.597.622.714
Quadriplegia;C10.597.622.760
Respiratory Paralysis;C10.597.622.812
Vocal Cord Paralysis;C10.597.622.943
Paresis;C10.597.636
Paraparesis;C10.597.636.500
Paraparesis, Spastic;C10.597.636.500.500
Pupil Disorders;C10.597.690
Anisocoria;C10.597.690.150
Miosis;C10.597.690.362
Horner Syndrome;C10.597.690.362.500
Tonic Pupil;C10.597.690.575
Reflex, Abnormal;C10.597.704
Seizures;C10.597.742
Alcohol Withdrawal Seizures;C10.597.742.143
Sensation Disorders;C10.597.751
Dizziness;C10.597.751.237
Hearing Disorders;C10.597.751.418
Hearing Loss;C10.597.751.418.341
Deafness;C10.597.751.418.341.186
Deaf-Blind Disorders;C10.597.751.418.341.186.500
Usher Syndromes;C10.597.751.418.341.186.500.500
Wolfram Syndrome;C10.597.751.418.341.186.500.750
Hearing Loss, Bilateral;C10.597.751.418.341.374
Hearing Loss, Conductive;C10.597.751.418.341.562
Hearing Loss, Functional;C10.597.751.418.341.750
Hearing Loss, High-Frequency;C10.597.751.418.341.812
Hearing Loss, Mixed Conductive-Sensorineural;C10.597.751.418.341.849
Hearing Loss, Sensorineural;C10.597.751.418.341.887
Hearing Loss, Central;C10.597.751.418.341.887.432
Hearing Loss, Noise-Induced;C10.597.751.418.341.887.460
Presbycusis;C10.597.751.418.341.887.772
Usher Syndromes;C10.597.751.418.341.887.886
Hearing Loss, Sudden;C10.597.751.418.341.900
Hearing Loss, Unilateral;C10.597.751.418.341.950
Hyperacusis;C10.597.751.418.505
Tinnitus;C10.597.751.418.670
Olfaction Disorders;C10.597.751.600
Somatosensory Disorders;C10.597.751.791
Hyperalgesia;C10.597.751.791.400
Hyperesthesia;C10.597.751.791.450
Hypesthesia;C10.597.751.791.500
Paresthesia;C10.597.751.791.875
Taste Disorders;C10.597.751.861
Ageusia;C10.597.751.861.184
Dysgeusia;C10.597.751.861.479
Vision Disorders;C10.597.751.941
Alice in Wonderland Syndrome;C10.597.751.941.036
Amblyopia;C10.597.751.941.073
Blindness;C10.597.751.941.162
Amaurosis Fugax;C10.597.751.941.162.125
Blindness, Cortical;C10.597.751.941.162.250
Deaf-Blind Disorders;C10.597.751.941.162.625
Usher Syndromes;C10.597.751.941.162.625.500
Wolfram Syndrome;C10.597.751.941.162.625.750
Color Vision Defects;C10.597.751.941.256
Diplopia;C10.597.751.941.339
Hemianopsia;C10.597.751.941.512
Photophobia;C10.597.751.941.661
Scotoma;C10.597.751.941.811
Vision, Low;C10.597.751.941.905
Susac Syndrome;C10.597.825
Urinary Bladder, Neurogenic;C10.597.900
Vertigo;C10.597.951
Benign Paroxysmal Positional Vertigo;C10.597.951.500
Voice Disorders;C10.597.975
Aphonia;C10.597.975.100
Dysphonia;C10.597.975.325
Hoarseness;C10.597.975.550
Neuromuscular Diseases;C10.668
Fatigue Syndrome, Chronic;C10.668.364
Isaacs Syndrome;C10.668.402
Motor Neuron Disease;C10.668.467
Amyotrophic Lateral Sclerosis;C10.668.467.250
Bulbar Palsy, Progressive;C10.668.467.300
Muscular Atrophy, Spinal;C10.668.467.500
Bulbo-Spinal Atrophy, X-Linked;C10.668.467.500.186
Spinal Muscular Atrophies of Childhood;C10.668.467.500.750
Muscular Atrophy, Spinal;C10.668.475
Spinal Muscular Atrophies of Childhood;C10.668.475.500
Muscular Diseases;C10.668.491
Medial Tibial Stress Syndrome;C10.668.491.087
Muscular Disorders, Atrophic;C10.668.491.175
Muscular Dystrophies;C10.668.491.175.500
Distal Myopathies;C10.668.491.175.500.074
Muscular Dystrophies, Limb-Girdle;C10.668.491.175.500.149
Sarcoglycanopathies;C10.668.491.175.500.149.500
Muscular Dystrophy, Duchenne;C10.668.491.175.500.300
Muscular Dystrophy, Emery-Dreifuss;C10.668.491.175.500.350
Muscular Dystrophy, Facioscapulohumeral;C10.668.491.175.500.400
Muscular Dystrophy, Oculopharyngeal;C10.668.491.175.500.450
Myotonic Dystrophy;C10.668.491.175.500.500
Postpoliomyelitis Syndrome;C10.668.491.175.750
Eosinophilia-Myalgia Syndrome;C10.668.491.387
Fibromyalgia;C10.668.491.425
Mitochondrial Myopathies;C10.668.491.500
Mitochondrial Encephalomyopathies;C10.668.491.500.500
MELAS Syndrome;C10.668.491.500.500.500
MERRF Syndrome;C10.668.491.500.500.550
Ophthalmoplegia, Chronic Progressive External;C10.668.491.500.700
Kearns-Sayre Syndrome;C10.668.491.500.700.500
Myalgia;C10.668.491.525
Myopathies, Structural, Congenital;C10.668.491.550
Myopathies, Nemaline;C10.668.491.550.290
Myopathy, Central Core;C10.668.491.550.300
Myositis;C10.668.491.562
Dermatomyositis;C10.668.491.562.150
Myositis, Inclusion Body;C10.668.491.562.500
Orbital Myositis;C10.668.491.562.537
Polymyositis;C10.668.491.562.575
Dermatomyositis;C10.668.491.562.575.500
Pyomyositis;C10.668.491.562.787
Myotonic Disorders;C10.668.491.606
Myotonia Congenita;C10.668.491.606.500
Myotonic Dystrophy;C10.668.491.606.750
Paralyses, Familial Periodic;C10.668.491.650
Hypokalemic Periodic Paralysis;C10.668.491.650.450
Paralysis, Hyperkalemic Periodic;C10.668.491.650.600
Muscular Disorders, Atrophic;C10.668.550
Postpoliomyelitis Syndrome;C10.668.550.500
Neuromuscular Junction Diseases;C10.668.758
Botulism;C10.668.758.200
Lambert-Eaton Myasthenic Syndrome;C10.668.758.450
Myasthenia Gravis;C10.668.758.725
Myasthenia Gravis, Autoimmune, Experimental;C10.668.758.725.300
Myasthenia Gravis, Neonatal;C10.668.758.725.650
Myasthenic Syndromes, Congenital;C10.668.758.800
Peripheral Nervous System Diseases;C10.668.829
Acrodynia;C10.668.829.025
Amyloid Neuropathies;C10.668.829.050
Amyloid Neuropathies, Familial;C10.668.829.050.050
Brachial Plexus Neuropathies;C10.668.829.100
Brachial Plexus Neuritis;C10.668.829.100.500
Complex Regional Pain Syndromes;C10.668.829.250
Causalgia;C10.668.829.250.200
Reflex Sympathetic Dystrophy;C10.668.829.250.800
Diabetic Neuropathies;C10.668.829.300
Giant Axonal Neuropathy;C10.668.829.325
Guillain-Barre Syndrome;C10.668.829.350
Miller Fisher Syndrome;C10.668.829.350.500
Hand-Arm Vibration Syndrome;C10.668.829.380
Isaacs Syndrome;C10.668.829.425
Mononeuropathies;C10.668.829.500
Femoral Neuropathy;C10.668.829.500.200
Median Neuropathy;C10.668.829.500.500
Carpal Tunnel Syndrome;C10.668.829.500.500.200
Peroneal Neuropathies;C10.668.829.500.600
Radial Neuropathy;C10.668.829.500.650
Sciatic Neuropathy;C10.668.829.500.675
Piriformis Muscle Syndrome;C10.668.829.500.675.399
Sciatica;C10.668.829.500.675.800
Tibial Neuropathy;C10.668.829.500.700
Tarsal Tunnel Syndrome;C10.668.829.500.700.800
Ulnar Neuropathies;C10.668.829.500.850
Cubital Tunnel Syndrome;C10.668.829.500.850.200
Ulnar Nerve Compression Syndromes;C10.668.829.500.850.600
Nerve Compression Syndromes;C10.668.829.550
Carpal Tunnel Syndrome;C10.668.829.550.200
Piriformis Muscle Syndrome;C10.668.829.550.500
Pudendal Neuralgia;C10.668.829.550.650
Tarsal Tunnel Syndrome;C10.668.829.550.800
Thoracic Outlet Syndrome;C10.668.829.550.850
Cervical Rib Syndrome;C10.668.829.550.850.200
Ulnar Nerve Compression Syndromes;C10.668.829.550.925
Cubital Tunnel Syndrome;C10.668.829.550.925.200
Neuralgia;C10.668.829.600
Causalgia;C10.668.829.600.200
Neuralgia, Postherpetic;C10.668.829.600.550
Piriformis Muscle Syndrome;C10.668.829.600.675
Pudendal Neuralgia;C10.668.829.600.737
Sciatica;C10.668.829.600.800
Neuritis;C10.668.829.650
Brachial Plexus Neuritis;C10.668.829.650.250
Neuritis, Autoimmune, Experimental;C10.668.829.650.500
Neurofibromatosis 1;C10.668.829.675
Pain Insensitivity, Congenital;C10.668.829.700
Peripheral Nerve Injuries;C10.668.829.712
Peripheral Nervous System Neoplasms;C10.668.829.725
Nerve Sheath Neoplasms;C10.668.829.725.500
Neurofibroma;C10.668.829.725.500.600
Neurofibroma, Plexiform;C10.668.829.725.500.600.500
Neurofibrosarcoma;C10.668.829.725.500.600.600
Polyneuropathies;C10.668.829.800
Alcoholic Neuropathy;C10.668.829.800.050
Hereditary Sensory and Motor Neuropathy;C10.668.829.800.300
Alstrom Syndrome;C10.668.829.800.300.099
Charcot-Marie-Tooth Disease;C10.668.829.800.300.200
Giant Axonal Neuropathy;C10.668.829.800.300.490
Refsum Disease;C10.668.829.800.300.780
Spastic Paraplegia, Hereditary;C10.668.829.800.300.820
Hereditary Sensory and Autonomic Neuropathies;C10.668.829.800.625
Dysautonomia, Familial;C10.668.829.800.625.200
Paraneoplastic Polyneuropathy;C10.668.829.800.662
POEMS Syndrome;C10.668.829.800.700
Polyradiculoneuropathy;C10.668.829.800.750
Guillain-Barre Syndrome;C10.668.829.800.750.300
Miller Fisher Syndrome;C10.668.829.800.750.300.500
Hereditary Sensory and Autonomic Neuropathies;C10.668.829.800.750.450
Dysautonomia, Familial;C10.668.829.800.750.450.250
Polyradiculoneuropathy, Chronic Inflammatory Demyelinating;C10.668.829.800.750.600
Polyradiculopathy;C10.668.829.800.750.700
Tangier Disease;C10.668.829.800.875
Radiculopathy;C10.668.829.820
Tarlov Cysts;C10.668.829.900
Poliomyelitis;C10.668.864
Postpoliomyelitis Syndrome;C10.668.864.500
Stiff-Person Syndrome;C10.668.900
Neurotoxicity Syndromes;C10.720
Akathisia, Drug-Induced;C10.720.075
Alcohol-Induced Disorders, Nervous System;C10.720.112
Alcohol Amnestic Disorder;C10.720.112.100
Korsakoff Syndrome;C10.720.112.100.500
Alcohol Withdrawal Delirium;C10.720.112.200
Alcohol Withdrawal Seizures;C10.720.112.300
Alcoholic Neuropathy;C10.720.112.400
Botulism;C10.720.150
Dyskinesia, Drug-Induced;C10.720.312
Heavy Metal Poisoning, Nervous System;C10.720.475
Arsenic Poisoning;C10.720.475.150
Lead Poisoning, Nervous System;C10.720.475.400
Lead Poisoning, Nervous System, Adult;C10.720.475.400.350
Lead Poisoning, Nervous System, Childhood;C10.720.475.400.700
Manganese Poisoning;C10.720.475.500
Mercury Poisoning, Nervous System;C10.720.475.600
Acrodynia;C10.720.475.600.150
MPTP Poisoning;C10.720.606
Neuroleptic Malignant Syndrome;C10.720.737
Restless Legs Syndrome;C10.803
Sleep Disorders;C10.886
Dyssomnias;C10.886.425
Sleep Deprivation;C10.886.425.175
Sleep Disorders, Circadian Rhythm;C10.886.425.200
Jet Lag Syndrome;C10.886.425.200.500
Sleep Disorders, Intrinsic;C10.886.425.800
Disorders of Excessive Somnolence;C10.886.425.800.200
Hypersomnolence, Idiopathic;C10.886.425.800.200.400
Kleine-Levin Syndrome;C10.886.425.800.200.500
Narcolepsy;C10.886.425.800.200.750
Cataplexy;C10.886.425.800.200.750.500
Nocturnal Myoclonus Syndrome;C10.886.425.800.600
Restless Legs Syndrome;C10.886.425.800.700
Sleep Apnea Syndromes;C10.886.425.800.750
Sleep Apnea, Central;C10.886.425.800.750.800
Sleep Apnea, Obstructive;C10.886.425.800.750.850
Obesity Hypoventilation Syndrome;C10.886.425.800.750.850.500
Sleep Initiation and Maintenance Disorders;C10.886.425.800.800
Insomnia, Fatal Familial;C10.886.425.800.800.400
Parasomnias;C10.886.659
Nocturnal Myoclonus Syndrome;C10.886.659.618
Nocturnal Paroxysmal Dystonia;C10.886.659.627
REM Sleep Parasomnias;C10.886.659.633
REM Sleep Behavior Disorder;C10.886.659.633.700
Sleep Paralysis;C10.886.659.633.800
Restless Legs Syndrome;C10.886.659.634
Sleep Arousal Disorders;C10.886.659.635
Night Terrors;C10.886.659.635.600
Somnambulism;C10.886.659.635.700
Sleep Bruxism;C10.886.659.637
Sleep-Wake Transition Disorders;C10.886.659.700
Trauma, Nervous System;C10.900
Cerebrovascular Trauma;C10.900.250
Carotid Artery Injuries;C10.900.250.300
Carotid Artery, Internal, Dissection;C10.900.250.300.300
Carotid-Cavernous Sinus Fistula;C10.900.250.300.400
Vertebral Artery Dissection;C10.900.250.650
Craniocerebral Trauma;C10.900.300
Brain Injuries;C10.900.300.087
Brain Concussion;C10.900.300.087.125
Contrecoup Injury;C10.900.300.087.125.249
Post-Concussion Syndrome;C10.900.300.087.125.500
Brain Hemorrhage, Traumatic;C10.900.300.087.187
Brain Stem Hemorrhage, Traumatic;C10.900.300.087.187.200
Cerebral Hemorrhage, Traumatic;C10.900.300.087.187.300
Brain Injury, Chronic;C10.900.300.087.250
Diffuse Axonal Injury;C10.900.300.087.500
Epilepsy, Post-Traumatic;C10.900.300.087.600
Pneumocephalus;C10.900.300.087.700
Shaken Baby Syndrome;C10.900.300.087.850
Cerebrospinal Fluid Leak;C10.900.300.109
Cerebrospinal Fluid Otorrhea;C10.900.300.109.500
Cerebrospinal Fluid Rhinorrhea;C10.900.300.109.750
Coma, Post-Head Injury;C10.900.300.175
Cranial Nerve Injuries;C10.900.300.218
Abducens Nerve Injury;C10.900.300.218.150
Accessory Nerve Injuries;C10.900.300.218.225
Facial Nerve Injuries;C10.900.300.218.300
Glossopharyngeal Nerve Injuries;C10.900.300.218.331
Hypoglossal Nerve Injuries;C10.900.300.218.362
Oculomotor Nerve Injuries;C10.900.300.218.456
Olfactory Nerve Injuries;C10.900.300.218.487
Optic Nerve Injuries;C10.900.300.218.550
Trigeminal Nerve Injuries;C10.900.300.218.775
Lingual Nerve Injuries;C10.900.300.218.775.500
Trochlear Nerve Injuries;C10.900.300.218.831
Vagus Nerve Injuries;C10.900.300.218.887
Laryngeal Nerve Injuries;C10.900.300.218.887.750
Recurrent Laryngeal Nerve Injuries;C10.900.300.218.887.750.500
Vestibulocochlear Nerve Injuries;C10.900.300.218.943
Head Injuries, Closed;C10.900.300.350
Brain Concussion;C10.900.300.350.300
Post-Concussion Syndrome;C10.900.300.350.300.500
Head Injuries, Penetrating;C10.900.300.675
Intracranial Hemorrhage, Traumatic;C10.900.300.837
Brain Hemorrhage, Traumatic;C10.900.300.837.150
Brain Stem Hemorrhage, Traumatic;C10.900.300.837.150.300
Cerebral Hemorrhage, Traumatic;C10.900.300.837.150.650
Hematoma, Epidural, Cranial;C10.900.300.837.300
Hematoma, Subdural;C10.900.300.837.600
Hematoma, Subdural, Acute;C10.900.300.837.600.050
Hematoma, Subdural, Chronic;C10.900.300.837.600.120
Hematoma, Subdural, Intracranial;C10.900.300.837.600.400
Subarachnoid Hemorrhage, Traumatic;C10.900.300.837.800
Skull Fractures;C10.900.300.918
Skull Fracture, Basilar;C10.900.300.918.150
Skull Fracture, Depressed;C10.900.300.918.300
Peripheral Nerve Injuries;C10.900.575
Spinal Cord Injuries;C10.900.850
Autonomic Dysreflexia;C10.900.850.250
Central Cord Syndrome;C10.900.850.625
Eye Diseases;C11
Asthenopia;C11.093
Cogan Syndrome;C11.180
Conjunctival Diseases;C11.187
Conjunctival Neoplasms;C11.187.169
Conjunctivitis;C11.187.183
Conjunctivitis, Allergic;C11.187.183.200
Conjunctivitis, Bacterial;C11.187.183.220
Conjunctivitis, Inclusion;C11.187.183.220.250
Ophthalmia Neonatorum;C11.187.183.220.538
Trachoma;C11.187.183.220.889
Conjunctivitis, Viral;C11.187.183.240
Conjunctivitis, Acute Hemorrhagic;C11.187.183.240.216
Keratoconjunctivitis;C11.187.183.394
Keratoconjunctivitis, Infectious;C11.187.183.394.520
Keratoconjunctivitis Sicca;C11.187.183.394.550
Pemphigoid, Benign Mucous Membrane;C11.187.482
Pinguecula;C11.187.631
Pterygium;C11.187.781
Xerophthalmia;C11.187.810
Corneal Diseases;C11.204
Corneal Dystrophies, Hereditary;C11.204.236
Corneal Dystrophy, Juvenile Epithelial of Meesmann;C11.204.236.218
Fuchs' Endothelial Dystrophy;C11.204.236.438
Corneal Edema;C11.204.267
Corneal Endothelial Cell Loss;C11.204.278
Corneal Injuries;C11.204.284
Corneal Perforation;C11.204.284.500
Corneal Neovascularization;C11.204.290
Corneal Opacity;C11.204.299
Arcus Senilis;C11.204.299.070
Corneal Wavefront Aberration;C11.204.431
Iridocorneal Endothelial Syndrome;C11.204.497
Keratitis;C11.204.564
Acanthamoeba Keratitis;C11.204.564.112
Corneal Ulcer;C11.204.564.225
Keratitis, Herpetic;C11.204.564.425
Keratitis, Dendritic;C11.204.564.425.450
Keratoconjunctivitis;C11.204.564.585
Keratoconjunctivitis, Infectious;C11.204.564.585.500
Keratoconjunctivitis Sicca;C11.204.564.585.630
Keratoconus;C11.204.627
Trachoma;C11.204.813
Eye Abnormalities;C11.250
Aniridia;C11.250.060
WAGR Syndrome;C11.250.060.950
Anophthalmos;C11.250.080
Blepharophimosis;C11.250.090
Coloboma;C11.250.110
Ectopia Lentis;C11.250.300
Fraser Syndrome;C11.250.390
Hydrophthalmos;C11.250.480
Microphthalmos;C11.250.566
Persistent Hyperplastic Primary Vitreous;C11.250.616
Retinal Dysplasia;C11.250.666
Eye Diseases, Hereditary;C11.270
Aicardi Syndrome;C11.270.019
Albinism;C11.270.040
Albinism, Ocular;C11.270.040.090
Albinism, Oculocutaneous;C11.270.040.545
Hermanski-Pudlak Syndrome;C11.270.040.545.400
Aniridia;C11.270.060
WAGR Syndrome;C11.270.060.950
Choroideremia;C11.270.142
Corneal Dystrophies, Hereditary;C11.270.162
Corneal Dystrophy, Juvenile Epithelial of Meesmann;C11.270.162.218
Fuchs' Endothelial Dystrophy;C11.270.162.438
Duane Retraction Syndrome;C11.270.235
Gyrate Atrophy;C11.270.468
Leber Congenital Amaurosis;C11.270.516
Optic Atrophies, Hereditary;C11.270.564
Optic Atrophy, Autosomal Dominant;C11.270.564.100
Optic Atrophy, Hereditary, Leber;C11.270.564.400
Wolfram Syndrome;C11.270.564.980
Retinal Dysplasia;C11.270.660
Retinitis Pigmentosa;C11.270.684
Alstrom Syndrome;C11.270.684.249
Graves Ophthalmopathy;C11.270.842
Walker-Warburg Syndrome;C11.270.881
Weill-Marchesani Syndrome;C11.270.921
Eye Hemorrhage;C11.290
Choroid Hemorrhage;C11.290.195
Hyphema;C11.290.484
Retinal Hemorrhage;C11.290.807
Vitreous Hemorrhage;C11.290.960
Eye Infections;C11.294
Corneal Ulcer;C11.294.177
Endophthalmitis;C11.294.265
Uveitis, Suppurative;C11.294.265.500
Eye Infections, Bacterial;C11.294.354
Conjunctivitis, Bacterial;C11.294.354.220
Conjunctivitis, Inclusion;C11.294.354.220.250
Ophthalmia Neonatorum;C11.294.354.220.625
Trachoma;C11.294.354.220.800
Hordeolum;C11.294.354.400
Keratoconjunctivitis, Infectious;C11.294.354.450
Tuberculosis, Ocular;C11.294.354.800
Uveitis, Suppurative;C11.294.354.900
Panophthalmitis;C11.294.354.900.675
Eye Infections, Fungal;C11.294.450
Uveitis, Suppurative;C11.294.450.900
Panophthalmitis;C11.294.450.900.675
Eye Infections, Parasitic;C11.294.725
Acanthamoeba Keratitis;C11.294.725.125
Onchocerciasis, Ocular;C11.294.725.562
Toxoplasmosis, Ocular;C11.294.725.781
Eye Infections, Viral;C11.294.800
Conjunctivitis, Viral;C11.294.800.250
Conjunctivitis, Acute Hemorrhagic;C11.294.800.250.250
Cytomegalovirus Retinitis;C11.294.800.270
Herpes Zoster Ophthalmicus;C11.294.800.450
Keratitis, Herpetic;C11.294.800.475
Keratitis, Dendritic;C11.294.800.475.450
Eye Injuries;C11.297
Anterior Capsular Rupture, Ocular;C11.297.249
Corneal Injuries;C11.297.374
Corneal Perforation;C11.297.374.500
Posterior Capsular Rupture, Ocular;C11.297.500
Eye Manifestations;C11.300
Eye Pain;C11.300.500
Eye Neoplasms;C11.319
Conjunctival Neoplasms;C11.319.217
Eyelid Neoplasms;C11.319.421
Orbital Neoplasms;C11.319.457
Paraneoplastic Syndromes, Ocular;C11.319.466
Retinal Neoplasms;C11.319.475
Retinoblastoma;C11.319.475.760
Uveal Neoplasms;C11.319.494
Choroid Neoplasms;C11.319.494.198
Iris Neoplasms;C11.319.494.400
Eyelid Diseases;C11.338
Blepharitis;C11.338.133
Blepharophimosis;C11.338.190
Blepharoptosis;C11.338.204
Blepharospasm;C11.338.250
Chalazion;C11.338.300
Ectropion;C11.338.362
Entropion;C11.338.443
Eyelid Neoplasms;C11.338.526
Hordeolum;C11.338.648
Trichiasis;C11.338.912
Lacrimal Apparatus Diseases;C11.496
Dacryocystitis;C11.496.221
Dry Eye Syndromes;C11.496.260
Keratoconjunctivitis Sicca;C11.496.260.394
Sjogren's Syndrome;C11.496.260.719
Xerophthalmia;C11.496.260.892
Lacrimal Duct Obstruction;C11.496.456
Lens Diseases;C11.510
Aphakia;C11.510.103
Aphakia, Postcataract;C11.510.103.110
Artificial Lens Implant Migration;C11.510.174
Cataract;C11.510.245
Capsule Opacification;C11.510.245.500
Lens Subluxation;C11.510.598
Ectopia Lentis;C11.510.598.373
Ocular Hypertension;C11.525
Glaucoma;C11.525.381
Glaucoma, Angle-Closure;C11.525.381.056
Glaucoma, Neovascular;C11.525.381.348
Glaucoma, Open-Angle;C11.525.381.407
Hydrophthalmos;C11.525.381.407.480
Ocular Hypotension;C11.540
Ocular Motility Disorders;C11.590
Duane Retraction Syndrome;C11.590.224
Miller Fisher Syndrome;C11.590.312
Nystagmus, Pathologic;C11.590.400
Nystagmus, Congenital;C11.590.400.300
Oculomotor Nerve Diseases;C11.590.436
Adie Syndrome;C11.590.436.200
Oculomotor Nerve Injuries;C11.590.436.600
Ophthalmoplegia;C11.590.472
Ophthalmoplegia, Chronic Progressive External;C11.590.472.250
Ophthalmoplegic Migraine;C11.590.472.375
Supranuclear Palsy, Progressive;C11.590.472.500
Ophthalmoplegia, Chronic Progressive External;C11.590.641
Kearns-Sayre Syndrome;C11.590.641.500
Opsoclonus-Myoclonus Syndrome;C11.590.725
Strabismus;C11.590.810
Esotropia;C11.590.810.400
Exotropia;C11.590.810.440
Tolosa-Hunt Syndrome;C11.590.905
Optic Nerve Diseases;C11.640
Low Tension Glaucoma;C11.640.225
Optic Atrophy;C11.640.451
Optic Atrophies, Hereditary;C11.640.451.451
Optic Atrophy, Autosomal Dominant;C11.640.451.451.100
Optic Atrophy, Hereditary, Leber;C11.640.451.451.400
Wolfram Syndrome;C11.640.451.451.980
Optic Disk Drusen;C11.640.513
Optic Nerve Injuries;C11.640.530
Optic Nerve Neoplasms;C11.640.544
Optic Nerve Glioma;C11.640.544.500
Optic Neuritis;C11.640.576
Neuromyelitis Optica;C11.640.576.695
Optic Neuropathy, Ischemic;C11.640.643
Papilledema;C11.640.710
Orbital Diseases;C11.675
Enophthalmos;C11.675.319
Exophthalmos;C11.675.349
Graves Disease;C11.675.349.500
Graves Ophthalmopathy;C11.675.349.500.500
Orbital Cellulitis;C11.675.387
Orbital Myositis;C11.675.426
Orbital Neoplasms;C11.675.659
Orbital Pseudotumor;C11.675.679
Pott Puffy Tumor;C11.675.689
Retrobulbar Hemorrhage;C11.675.700
Pupil Disorders;C11.710
Anisocoria;C11.710.090
Miosis;C11.710.528
Horner Syndrome;C11.710.528.500
Mydriasis;C11.710.570
Tonic Pupil;C11.710.800
Adie Syndrome;C11.710.800.180
Refractive Errors;C11.744
Aniseikonia;C11.744.116
Anisometropia;C11.744.126
Astigmatism;C11.744.212
Corneal Wavefront Aberration;C11.744.345
Hyperopia;C11.744.479
Myopia;C11.744.636
Myopia, Degenerative;C11.744.636.500
Presbyopia;C11.744.786
Retinal Diseases;C11.768
Angioid Streaks;C11.768.094
Central Serous Chorioretinopathy;C11.768.175
Diabetic Retinopathy;C11.768.257
Epiretinal Membrane;C11.768.328
Hypertensive Retinopathy;C11.768.346
Leber Congenital Amaurosis;C11.768.364
Retinal Artery Occlusion;C11.768.400
Susac Syndrome;C11.768.400.500
Retinal Degeneration;C11.768.585
Macular Degeneration;C11.768.585.439
Geographic Atrophy;C11.768.585.439.122
Macular Edema;C11.768.585.439.245
Vitelliform Macular Dystrophy;C11.768.585.439.433
Wet Macular Degeneration;C11.768.585.439.622
Retinal Drusen;C11.768.585.585
